,codipreg,pregunta,pregunta_mask,x,y,cluster
0,1,¿Cuánto se recaudó este mes en Mendoza?,[ORG] se recaudó este mes en [LOC]?,4.8720746,8.502757,-1
1,2,¿Cuál es el total acumulado de recaudación en lo que va del año?,[LOC] es el total acumulado de recaudación en lo que va del año?,4.3732343,8.1617985,-1
2,3,¿Cómo viene la recaudación comparada con el año pasado?,[MISC] viene la recaudación comparada con el año pasado?,4.6476774,8.248158,-1
3,4,¿Aumentó o bajó la recaudación respecto al mes pasado?,[ORG] o bajó la recaudación respecto al mes pasado?,4.7955384,8.382421,-1
4,5,¿Cuál fue el mejor mes de recaudación de los últimos cinco años?,¿[LOC] fue el mejor mes de recaudación de los últimos cinco años?,4.809756,8.486276,-1
5,6,¿Cuál fue la recaudación más alta en la historia?,¿[LOC] fue la recaudación más alta en la historia?,4.614083,8.319634,-1
6,7,¿Cuál es el promedio de recaudación anual en los últimos 10 años?,[LOC] es el promedio de recaudación anual en los últimos 10 años?,4.3881164,8.424049,-1
7,8,¿Qué proporción de la recaudación corresponde a ingresos brutos?,¿Qué proporción de la recaudación corresponde a ingresos brutos?,3.6401725,8.22308,-1
8,9,¿Cómo ha evolucionado la recaudación en el tiempo?,[MISC] ha evolucionado la recaudación en el tiempo?,3.0463893,7.90088,-1
9,10,¿La recaudación actual está por encima del promedio histórico?,¿La recaudación actual está por encima del promedio histórico?,4.3808427,8.407253,-1
10,11,¿La recaudación creció por encima de la inflación?,¿La recaudación creció por encima de la inflación?,3.0701637,9.899148,-1
11,12,¿Cuál es la tendencia en la recaudación desde 2018?,[LOC] es la tendencia en la recaudación desde 2018?,4.412234,8.227189,-1
12,13,¿Qué pasó con la recaudación en pandemia?,¿Qué pasó con la recaudación en pandemia?,4.5189056,8.2949095,-1
13,14,¿Se está recaudando más o menos que en los últimos años?,¿Se está recaudando más o menos que en los últimos años?,4.23518,8.420138,-1
14,15,¿Es buena o mala la recaudación de este mes?,¿Es buena o mala la recaudación de este mes?,4.7459087,8.375157,-1
15,16,¿Estamos por debajo del promedio en términos de recaudación?,[ORG] por debajo del promedio en términos de recaudación?,4.313855,8.32547,-1
16,17,¿Qué tan importante es el impuesto automotor en la recaudación?,¿[LOC] tan importante es el impuesto automotor en la recaudación?,-0.2546967,-1.9240814,-1
17,18,¿Qué parte de los recursos proviene de coparticipación?,¿Qué parte de los recursos proviene de coparticipación?,3.4359393,7.024959,-1
18,19,¿Cuál fue el peor mes de recaudación de la historia?,¿[LOC] fue el peor mes de recaudación de la historia?,4.950143,8.590071,-1
19,20,¿Cómo cambió la recaudación total en los últimos 6 meses?,[MISC] cambió la recaudación total en los últimos 6 meses?,4.600441,8.237861,-1
20,21,¿Cuánto se recaudó el mes pasado?,[ORG] se recaudó el mes pasado?,4.873952,8.501399,-1
21,22,Dame el último dato de recaudación.,Dame el último dato de recaudación.,4.938862,8.691997,-1
22,23,¿Cuál fue el total del año?,¿[LOC] fue el total del año?,4.8692646,8.655252,-1
23,24,¿Cómo vamos con la recaudación este año?,[MISC] vamos con la recaudación este año?,4.468786,8.196295,-1
24,25,¿Subió o bajó respecto al mismo mes del año anterior?,¿[MISC] o bajó respecto al mismo mes del año anterior?,4.9562926,8.617426,-1
25,26,Comparativa interanual de la recaudación.,Comparativa interanual de la recaudación.,3.832063,7.8355184,-1
26,27,¿Cuál fue el pico de recaudación de los últimos 5 años?,¿[LOC] fue el pico de recaudación de los últimos 5 años?,4.6078796,8.3602705,-1
27,28,¿En qué mes se recaudó más históricamente?,¿En qué mes se recaudó más históricamente?,4.9269505,8.653995,-1
28,29,¿Y el mínimo histórico cuál fue?,[LOC]Y el mínimo histórico cuál fue?,4.960336,8.711439,-1
29,30,Decime el promedio de recaudación de la última década.,Decime el promedio de recaudación de la última década.,4.339701,8.404347,-1
30,31,¿El valor actual está por encima o por debajo de la media de los últimos 5 años?,¿El valor actual está por encima o por debajo de la media de los últimos 5 años?,4.6568584,8.608926,-1
31,32,¿Qué porcentaje de la torta es Ingresos Brutos?,¿Qué porcentaje de la torta es [MISC]?,8.3980665,9.462158,-1
32,33,¿Cuánto aporta el impuesto a los sellos?,[ORG] aporta el impuesto a los sellos?,-0.25913605,-2.0097406,-1
33,34,Mostrame la serie completa de recaudación desde 2010.,[PER] la serie completa de recaudación desde 2010.,4.224943,8.109634,-1
34,35,¿Cuál es la tendencia de los últimos 24 meses?,[LOC] es la tendencia de los últimos 24 meses?,4.746801,8.610412,-1
35,36,"Si ajustamos por inflación, ¿la recaudación real creció?","Si ajustamos por inflación, [LOC]la recaudación real creció?",2.9582155,9.984439,-1
36,37,¿Cómo se compara la recaudación real de hoy con la de 2019?,[MISC] se compara la recaudación real de hoy con la de 2019?,4.5235543,8.061283,-1
37,38,"Che, ¿alcanza la plata que entra?","[LOC], [LOC]alcanza la plata que entra?",2.001079,5.833753,-1
38,39,¿Por qué subió tanto la recaudación este mes?,¿Por qué subió tanto la recaudación este mes?,4.5611706,8.43291,-1
39,40,"No entiendo el gráfico, ¿qué significa la línea azul?","No entiendo el gráfico, [MISC] significa la línea azul?",5.3026648,7.1932445,-1
40,41,¿Qué pasó con la recaudación durante la pandemia?,¿Qué pasó con la recaudación durante la pandemia?,4.5094004,8.311647,-1
41,42,¿Cuál fue la recaudación acumulada del primer trimestre?,¿[LOC] fue la recaudación acumulada del primer trimestre?,4.497174,8.137839,-1
42,43,¿Cómo fue la variación contra el mes anterior?,[MISC] fue la variación contra el mes anterior?,4.942173,8.535096,-1
43,44,¿Es este el mejor junio de la historia en términos de recaudación?,¿Es este el mejor junio de la historia en términos de recaudación?,4.7134337,8.313279,-1
44,45,¿Y el peor año cuál fue?,[LOC]Y el peor año cuál fue?,4.955002,8.636347,-1
45,46,¿Cuánto se recauda en promedio por mes?,[PER] se recauda en promedio por mes?,4.5683374,8.429391,-1
46,47,¿Qué tan importante es la coparticipación en los ingresos totales?,¿[LOC] tan importante es la coparticipación en los ingresos totales?,3.401639,7.2337065,-1
47,48,Evolución de la recaudación nominal.,Evolución de la recaudación nominal.,3.6682668,7.8134184,-1
48,49,¿Qué se espera para el próximo mes?,¿[LOC] se espera para el próximo mes?,4.957375,8.536071,-1
49,50,¿La recaudación sigue la estacionalidad típica?,¿La recaudación sigue la estacionalidad típica?,4.5956116,8.243936,-1
